Date;PX_LAST;PX_HIGH;PX_LOW;PX_OPEN
16.06.2017;57.7755;57.8349;57.4351;60.59
15.06.2017;57.8883;57.8883;57.3214;59.8843
14.06.2017;57.415;57.5606;56.833;60.0843
13.06.2017;56.9843;56.9855;56.8226;59.4099
09.06.2017;57.0286;57.0663;56.8948;59.3502
08.06.2017;56.899;57.1216;56.8176;59.4153
07.06.2017;57.0984;57.1691;56.5061;59.5358
06.06.2017;56.5407;56.7692;56.4215;59.2927
05.06.2017;56.6174;56.8995;56.4118;59.1367
02.06.2017;56.6409;56.8536;56.39;58.9239
01.06.2017;56.3904;56.7112;56.1234;59.6175
31.05.2017;56.567;56.9459;56.5548;59.7672
30.05.2017;56.5549;56.7904;56.4548;60.3184
29.05.2017;56.4867;58.3115;56.2905;59.6825
26.05.2017;56.518;57.026;56.487;58.3734
25.05.2017;56.9575;57.018;56.0012;57.581
24.05.2017;56.4224;56.5759;56.2128;57.8675
23.05.2017;56.3618;56.7269;56.2248;57.1913
22.05.2017;56.6378;56.9105;56.4101;56.915
19.05.2017;56.9345;57.357;56.661;57.0443
